No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI
590,WS,WS Holdings Inc.,Healthcare,Hospitals,UK,5204235.75,,2.20,2.46,8.86,77.42,"3,984",6.16,8.83%,13.29%,0.41,1.82,58.41%,46.12
591,WT,WT Holdings Inc.,Healthcare,Biotechnology,China,2301555.61,9.53,2.27,2.20,,8.13,"196,958",4.04,34.91%,14.50%,0.41,0.41,15.94%,55.80
592,WU,WU Holdings Inc.,Healthcare,Drug Manufacturers,China,310470.41,24.21,2.03,1.72,3.55,19.53,"11,113",2.60,21.46%,20.60%,0.70,1.19,42.58%,55.21
593,WV,WV Corp.,Healthcare,Medical Laboratories,China,778209.27,17.94,1.72,2.28,2.61,10.88,"58,741",0.46,26.69%,-4.94%,0.52,1.49,28.52%,76.58
594,WW,WW Holdings Inc.,Healthcare,Hospitals,China,20196151.56,14.46,1.93,5.06,2.89,179.83,"856,893",1.26,17.38%,12.79%,0.46,0.86,26.85%,30.48
595,WX,WX Corp.,Healthcare,Biotechnology,Chile,934461.19,,3.65,0.90,3.81,29.90,"58,380",5.96,0.28%,-6.58%,0.61,0.78,47.05%,29.87
596,WY,WY Corp.,Healthcare,Drug Manufacturers,Chile,39772773.66,38.70,1.35,1.62,1.12,37.01,"54,254",10.09,-10.25%,5.03%,0.28,1.11,29.81%,53.00
597,WZ,WZ Corp.,Healthcare,Medical Laboratories,Chile,22932676.56,18.20,1.23,1.28,3.65,58.80,"42,517",-0.28,-1.53%,17.50%,1.14,1.30,77.03%,64.95
598,XA,XA Corp.,Healthcare,Hospitals,Switzerland,60322037.43,27.68,0.57,0.66,3.09,125.93,"705,128",3.80,5.59%,-0.34%,0.73,1.04,11.28%,48.46
599,XB,XB Holdings Inc.,Healthcare,Biotechnology,Switzerland,8676993.56,,2.39,1.68,1.94,28.33,"266,758",-0.55,19.90%,12.29%,0.53,0.75,15.63%,38.08
600,XC,XC Corp.,Healthcare,Drug Manufacturers,USA,4956192.78,22.58,1.97,1.48,1.25,22.06,"40,070",4.36,19.15%,11.83%,1.09,0.81,40.47%,47.78
601,XD,XD Holdings Inc.,Healthcare,Medical Laboratories,USA,7487580.85,24.20,0.60,3.03,3.97,140.04,"474,332",1.14,6.93%,6.38%,0.21,0.80,48.20%,53.32
602,XE,XE Corp.,Healthcare,Hospitals,USA,1765609.34,20.15,1.77,1.39,1.50,18.99,"100,950",7.24,9.67%,-15.95%,0.22,0.71,14.83%,58.33
603,XF,XF Corp.,Healthcare,Biotechnology,USA,33458049.69,16.35,2.00,5.40,2.15,149.17,"7,676",-1.51,20.10%,6.47%,0.36,0.73,33.41%,36.25
604,XG,XG Holdings Inc.,Healthcare,Drug Manufacturers,USA,1533510.23,19.19,,2.59,1.98,17.87,"55,768",2.69,30.65%,-3.17%,0.18,0.87,32.67%,32.37
605,XH,XH Holdings Inc.,Healthcare,Medical Laboratories,USA,37117903.00,35.59,1.50,0.63,2.33,42.34,"119,554",3.23,3.96%,6.81%,0.74,1.74,35.80%,65.81
606,XI,XI Holdings Inc.,Healthcare,Hospitals,USA,31533311.49,17.60,0.68,2.92,2.67,27.12,"60,867",1.43,20.54%,11.61%,0.90,1.05,29.82%,45.79
607,XJ,XJ Corp.,Healthcare,Biotechnology,USA,117267471.54,19.88,0.90,3.15,1.24,51.73,"144,357",1.96,24.38%,9.94%,0.40,0.36,67.35%,35.66
608,XK,XK Holdings Inc.,Healthcare,Drug Manufacturers,USA,3353848.08,20.95,0.55,2.25,3.46,62.31,"35,569",0.10,24.43%,10.01%,0.18,1.33,74.86%,49.06
609,XL,XL Holdings Inc.,Healthcare,Medical Laboratories,USA,2406954.70,18.41,1.53,1.40,1.47,16.59,"73,961",1.39,24.22%,15.59%,0.18,1.29,51.75%,51.43
610,XM,XM Holdings Inc.,Healthcare,Hospitals,USA,1309432.77,,2.80,1.75,2.29,13.80,"1,241,857",1.25,5.59%,21.20%,0.85,0.34,39.18%,50.65
611,XN,XN Holdings Inc.,Healthcare,Biotechnology,USA,6977293.22,26.64,,2.06,6.85,17.88,"75,208",-2.74,15.08%,-2.79%,1.47,0.68,69.18%,56.87
612,XO,XO Holdings Inc.,Healthcare,Drug Manufacturers,USA,29925098.15,28.06,1.44,2.89,3.21,57.60,"60,696",-0.71,23.91%,0.77%,2.83,1.36,46.38%,52.28
613,XP,XP Corp.,Healthcare,Medical Laboratories,USA,5619005.31,16.86,1.77,,2.33,61.13,"157,150",3.10,-12.07%,31.22%,0.51,0.98,9.73%,52.70
614,XQ,XQ Corp.,Healthcare,Hospitals,USA,3595305.89,19.70,4.48,1.55,0.59,10.78,"141,364",5.22,2.96%,20.27%,0.87,1.15,59.94%,84.08
615,XR,XR Corp.,Healthcare,Biotechnology,USA,12741373.92,17.65,1.74,,1.93,45.78,"181,071",4.01,-14.71%,8.75%,0.60,0.91,33.60%,41.55
616,XS,XS Corp.,Healthcare,Drug Manufacturers,USA,6625372.98,24.58,1.73,2.43,7.03,69.74,"4,274",5.05,-0.49%,-15.99%,0.73,1.48,47.62%,47.37
617,XT,XT Holdings Inc.,Healthcare,Medical Laboratories,USA,1540371.63,19.88,2.44,1.09,1.46,13.87,"10,893",12.91,18.97%,7.06%,1.01,0.99,89.74%,39.55
618,XU,XU Corp.,Healthcare,Hospitals,USA,2186094.38,21.38,0.99,5.70,8.70,15.56,"428,020",7.98,7.23%,8.95%,0.63,0.42,43.54%,50.74
619,XV,XV Corp.,Healthcare,Biotechnology,USA,12745467.56,23.84,1.39,0.81,9.97,38.89,"94,545",-3.17,2.41%,14.64%,0.31,1.31,24.39%,79.88
620,XW,XW Corp.,Healthcare,Drug Manufacturers,USA,7661507.05,24.43,1.98,1.52,3.89,32.35,"119,911",4.66,22.12%,-2.34%,0.63,1.02,52.49%,39.46
621,XX,XX Holdings Inc.,Healthcare,Medical Laboratories,USA,6711276.28,24.53,0.53,1.11,4.52,40.45,"53,154",7.78,3.21%,37.54%,0.56,0.62,62.26%,36.25
622,XY,XY Holdings Inc.,Healthcare,Hospitals,USA,367514.55,8.38,1.35,7.28,1.07,15.57,"87,650",3.66,-7.74%,-6.97%,0.67,1.12,49.86%,33.71
623,XZ,XZ Corp.,Healthcare,Biotechnology,USA,2025971.30,20.13,4.10,,,63.32,"927,227",-0.85,-0.39%,14.34%,0.71,0.67,18.16%,64.60
624,YA,YA Corp.,Healthcare,Drug Manufacturers,USA,579621.49,11.88,0.68,3.64,,9.83,"91,952",-0.82,-2.18%,3.31%,0.08,1.09,15.69%,55.40
625,YB,YB Holdings Inc.,Healthcare,Medical Laboratories,USA,3689438.35,26.34,1.98,3.11,1.15,20.18,"17,371",-1.67,-10.45%,-14.36%,0.97,1.42,84.68%,56.94
626,YC,YC Holdings Inc.,Healthcare,Hospitals,USA,1779465.93,19.46,1.82,3.31,0.74,35.42,"584,531",5.60,6.89%,9.77%,1.69,0.54,55.96%,44.97
627,YD,YD Holdings Inc.,Healthcare,Biotechnology,USA,3957743.17,,0.87,3.46,2.47,28.39,"136,325",1.51,12.94%,11.07%,0.46,0.68,22.61%,35.11
628,YE,YE Holdings Inc.,Healthcare,Drug Manufacturers,USA,4206835.46,27.01,3.34,2.02,2.04,87.86,"13,868",3.62,26.41%,20.56%,0.70,1.71,46.25%,70.23
629,YF,YF Corp.,Industrial Goods,Aerospace/Defense,USA,889576.12,65.49,2.07,3.48,0.89,18.42,"143,000",0.42,19.04%,21.30%,0.23,1.54,77.25%,30.08
630,YG,YG Corp.,Industrial Goods,Farm & Construction Machinery,USA,27628441.71,25.12,,1.79,1.41,41.44,"154,507",5.00,-6.19%,17.99%,0.54,0.71,58.45%,28.15
631,YH,YH Holdings Inc.,Industrial Goods,Industrial Equipment,USA,2275493.33,19.26,1.26,,0.54,24.25,"181,573",7.34,-9.23%,10.13%,0.80,0.33,51.98%,40.99
632,YI,YI Corp.,Industrial Goods,Aerospace/Defense,USA,183496352.36,12.71,0.73,1.64,5.33,76.34,"138,654",-3.19,36.62%,-0.72%,1.17,1.04,5.94%,59.48
633,YJ,YJ Corp.,Industrial Goods,Farm & Construction Machinery,USA,18532995.54,61.29,1.23,3.60,5.73,129.78,"20,803",-1.89,29.39%,23.16%,0.74,1.03,13.88%,60.75
634,YK,YK Holdings Inc.,Industrial Goods,Industrial Equipment,USA,45742062.29,12.11,,0.83,5.74,25.70,"109,461",2.86,21.00%,10.25%,0.57,1.45,35.39%,45.49
635,YL,YL Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,2135451.93,38.55,2.48,,1.89,35.25,"648,059",6.27,1.35%,1.17%,2.14,0.85,24.54%,70.40
636,YM,YM Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,3611773.99,22.48,6.61,,0.60,36.62,"266,808",3.43,-6.39%,4.17%,0.43,0.99,32.36%,51.46
637,YN,YN Corp.,Industrial Goods,Industrial Equipment,USA,32318100.61,8.86,,2.74,1.21,266.17,"171,763",5.77,1.08%,-4.65%,1.06,1.04,70.65%,46.79
638,YO,YO Corp.,Industrial Goods,Aerospace/Defense,USA,3294000.66,40.05,0.86,3.48,3.10,34.87,"99,116",-0.96,17.07%,25.51%,2.06,0.50,35.96%,41.98
639,YP,YP Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,181367087.25,31.45,0.65,1.46,17.32,51.83,"39,935",4.49,23.81%,7.80%,2.21,0.78,24.64%,59.09
640,YQ,YQ Holdings Inc.,Industrial Goods,Industrial Equipment,USA,14241549.28,42.09,1.65,2.65,1.46,18.13,"92,845",-0.83,19.05%,19.67%,3.06,1.52,48.22%,69.48
641,YR,YR Corp.,Industrial Goods,Aerospace/Defense,USA,53963735.18,23.63,0.73,1.49,3.36,295.53,"7,733",5.78,28.11%,19.88%,0.49,1.52,64.98%,53.83
642,YS,YS Corp.,Industrial Goods,Farm & Construction Machinery,USA,7514988.61,51.18,2.14,3.78,3.06,45.22,"34,817",7.90,-5.20%,-7.25%,0.32,1.00,12.59%,55.90
643,YT,YT Holdings Inc.,Industrial Goods,Industrial Equipment,USA,1286151.92,17.44,1.90,4.18,4.24,17.21,"26,506",4.11,10.89%,4.64%,0.84,1.18,82.45%,52.51
644,YU,YU Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,19467726.23,18.56,,1.23,2.43,51.74,"157,398",1.12,9.08%,23.03%,0.66,0.75,47.61%,53.09
645,YV,YV Corp.,Industrial Goods,Farm & Construction Machinery,USA,72499816.11,,0.85,5.05,4.09,100.12,"27,902",1.58,1.87%,-9.23%,0.25,0.64,14.88%,38.41
646,YW,YW Corp.,Industrial Goods,Industrial Equipment,USA,63701619.41,79.38,2.29,1.99,1.38,83.91,"297,937",4.21,29.20%,-15.94%,1.35,1.07,37.82%,33.02
647,YX,YX Corp.,Industrial Goods,Aerospace/Defense,USA,2141754.56,15.81,1.40,3.62,2.14,29.44,"26,354",-1.43,14.37%,11.87%,0.07,0.73,44.42%,59.09
648,YY,YY Corp.,Industrial Goods,Farm & Construction Machinery,USA,18453305.82,16.51,,0.77,4.57,115.58,"99,152",-0.24,-4.14%,10.47%,1.16,0.89,4.36%,50.35
649,YZ,YZ Holdings Inc.,Industrial Goods,Industrial Equipment,USA,21373436.61,27.60,2.05,1.95,2.74,33.37,"203,046",4.89,12.99%,31.37%,0.95,0.67,10.21%,34.49
650,ZA,ZA Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,1991786.32,12.34,,2.12,1.45,53.67,"4,214",8.97,14.43%,1.79%,0.74,1.31,41.47%,50.29
651,ZB,ZB Corp.,Industrial Goods,Farm & Construction Machinery,USA,438591.06,26.37,2.38,5.35,1.91,38.45,"4,231",0.34,-4.75%,20.93%,0.45,0.21,58.14%,54.66
652,ZC,ZC Corp.,Industrial Goods,Industrial Equipment,USA,2807813.46,44.31,1.73,2.30,2.99,20.53,"209,118",2.86,-3.38%,19.04%,0.61,0.54,39.04%,44.93
653,ZD,ZD Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,1355410.59,24.60,2.75,2.73,6.94,25.36,"237,135",9.42,37.60%,20.96%,0.91,0.23,33.39%,50.80
654,ZE,ZE Corp.,Industrial Goods,Farm & Construction Machinery,USA,8352007.22,48.57,2.22,1.39,4.03,41.92,"133,677",-0.24,18.63%,7.54%,0.52,1.18,51.79%,48.95
655,ZF,ZF Corp.,Industrial Goods,Industrial Equipment,USA,19012978.18,29.58,,8.42,2.87,60.44,"6,607",4.74,-4.62%,2.02%,0.22,1.10,21.92%,39.68
656,ZG,ZG Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,34922026.60,10.30,2.62,7.66,3.47,56.22,"29,690",7.87,24.94%,14.84%,1.04,0.65,50.32%,35.46
657,ZH,ZH Corp.,Industrial Goods,Farm & Construction Machinery,USA,1772024.09,40.83,2.33,0.62,5.16,45.56,"1,452,962",8.07,0.77%,-7.95%,0.37,1.80,66.42%,43.90
658,ZI,ZI Holdings Inc.,Industrial Goods,Industrial Equipment,USA,5733811.98,30.59,1.07,1.44,0.62,19.88,"200,448",2.73,5.97%,28.39%,0.78,0.22,7.78%,92.64
659,ZJ,ZJ Corp.,Industrial Goods,Aerospace/Defense,USA,21534935.97,27.83,2.07,1.54,,21.56,"22,759",1.40,19.26%,10.78%,0.72,1.09,58.37%,54.37
660,ZK,ZK Corp.,Industrial Goods,Farm & Construction Machinery,USA,22350403.84,32.32,3.61,1.60,0.99,58.40,"169,064",-0.98,-2.08%,37.34%,0.60,1.21,12.35%,25.54
661,ZL,ZL Corp.,Industrial Goods,Industrial Equipment,USA,629425.66,47.20,2.97,1.86,1.67,21.82,"11,882",-0.37,9.05%,22.74%,0.22,0.73,85.97%,44.14
662,ZM,ZM Corp.,Industrial Goods,Aerospace/Defense,USA,760734.63,22.27,0.53,0.87,3.57,10.15,"139,486",3.91,3.57%,32.60%,1.23,1.13,47.26%,73.78
663,ZN,ZN Corp.,Industrial Goods,Farm & Construction Machinery,USA,6450192.02,51.50,13.04,9.44,2.38,126.93,"124,778",8.11,8.06%,4.55%,0.64,1.67,62.35%,36.01
664,ZO,ZO Holdings Inc.,Industrial Goods,Industrial Equipment,USA,13765606.60,36.24,3.46,1.38,4.05,21.01,"151,786",-0.33,12.15%,17.88%,1.04,0.62,69.67%,41.66
665,ZP,ZP Corp.,Industrial Goods,Aerospace/Defense,USA,3555258.67,26.70,,1.47,1.58,11.26,"74,641",0.42,1.05%,22.23%,0.80,1.04,65.43%,21.26
666,ZQ,ZQ Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,2647713.00,14.94,2.81,3.26,3.09,90.88,"26,249",7.24,-10.38%,21.24%,0.98,1.36,70.24%,51.63
667,ZR,ZR Holdings Inc.,Industrial Goods,Industrial Equipment,USA,7951307.33,15.85,1.87,3.93,4.02,23.77,"206,399",-5.08,7.13%,12.54%,0.72,0.96,4.44%,52.83
668,ZS,ZS Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,7880542.29,18.05,1.55,2.26,1.14,42.91,"29,988",-0.55,9.31%,13.30%,0.14,0.99,63.45%,47.41
669,ZT,ZT Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,131070549.95,14.61,3.82,,1.99,191.93,"5,513",-4.07,12.64%,17.46%,0.67,0.56,35.19%,46.02
670,ZU,ZU Corp.,Industrial Goods,Industrial Equipment,USA,6638785.08,23.39,0.64,12.15,1.77,36.33,"135,763",7.47,21.38%,31.38%,0.57,1.18,43.62%,49.65
671,ZV,ZV Corp.,Industrial Goods,Aerospace/Defense,USA,20324060.26,55.28,9.07,1.13,0.86,42.19,"95,430",7.80,39.23%,11.50%,0.34,0.15,79.89%,51.76
672,ZW,ZW Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,12013342.24,23.85,3.56,1.16,2.10,56.18,"199,962",-0.77,2.21%,11.24%,0.57,1.63,58.15%,46.04
673,ZX,ZX Corp.,Industrial Goods,Industrial Equipment,USA,1439850.69,31.87,,,,56.05,"245,728",-0.72,8.12%,29.33%,0.31,0.93,13.82%,23.74
674,ZY,ZY Corp.,Industrial Goods,Aerospace/Defense,USA,5294021.21,15.97,,3.61,4.48,63.28,"60,860",6.16,-9.98%,10.22%,0.26,1.03,79.24%,40.62
675,ZZ,ZZ Corp.,Industrial Goods,Farm & Construction Machinery,USA,1255360.98,45.53,,0.59,3.56,20.48,"50,699",2.68,7.87%,13.13%,2.48,0.84,56.74%,7.26
676,BAA,BAA Holdings Inc.,Industrial Goods,Industrial Equipment,USA,12304181.67,45.52,,2.50,0.75,165.78,"1,169",3.07,2.42%,-1.41%,0.32,1.59,46.42%,54.03
677,BAB,BAB Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,4679628.50,26.66,4.34,17.50,1.94,17.75,"19,065",2.55,33.45%,17.49%,0.64,0.72,69.35%,55.22
678,BAC,BAC Corp.,Industrial Goods,Farm & Construction Machinery,Canada,1596752.18,,0.98,1.84,3.87,61.37,"19,696",5.22,12.66%,6.53%,0.65,1.64,21.63%,57.70
679,BAD,BAD Holdings Inc.,Industrial Goods,Industrial Equipment,Canada,145108.23,11.56,2.97,2.58,1.30,12.91,"27,923",0.54,9.87%,-2.62%,0.41,2.12,14.76%,77.67
680,BAE,BAE Holdings Inc.,Industrial Goods,Aerospace/Defense,Canada,6194296.60,18.24,,4.20,3.22,22.02,"349,649",1.38,-4.81%,0.23%,1.13,0.23,47.00%,39.22
681,BAF,BAF Holdings Inc.,Industrial Goods,Farm & Construction Machinery,Canada,2029296.75,8.56,1.32,5.87,3.50,76.82,"45,761",5.22,19.18%,15.71%,0.45,1.12,4.04%,43.55
682,BAG,BAG Holdings Inc.,Industrial Goods,Industrial Equipment,Canada,6278610.17,21.08,,6.32,1.50,56.32,"62,573",5.87,-2.10%,0.42%,0.33,1.03,63.62%,65.91
683,BAH,BAH Holdings Inc.,Industrial Goods,Aerospace/Defense,Canada,15132192.12,25.52,3.33,2.86,3.66,16.67,"17,757",0.63,-5.09%,17.81%,0.39,0.56,12.78%,16.38
684,BAI,BAI Corp.,Industrial Goods,Farm & Construction Machinery,Canada,1932231.04,21.07,2.07,0.48,1.83,26.26,"5,120",0.04,39.89%,30.01%,0.76,1.56,40.51%,53.87
685,BAJ,BAJ Corp.,Industrial Goods,Industrial Equipment,Canada,9552714.79,29.67,4.71,1.27,1.36,31.33,"91,563",9.26,4.41%,11.62%,0.21,1.18,11.24%,69.26
686,BAK,BAK Holdings Inc.,Industrial Goods,Aerospace/Defense,UK,3137406.90,13.67,1.85,,1.65,47.37,"13,025",1.92,5.71%,17.38%,1.99,0.29,17.92%,44.25
687,BAL,BAL Corp.,Industrial Goods,Farm & Construction Machinery,UK,61261908.20,63.95,,5.26,1.64,62.76,"11,933",2.75,30.89%,-1.47%,0.63,1.25,39.47%,51.46
688,BAM,BAM Holdings Inc.,Industrial Goods,Industrial Equipment,UK,2063466.78,62.59,1.12,0.69,,84.58,"129,999",8.17,20.03%,6.77%,0.32,1.56,40.04%,58.64
689,BAN,BAN Holdings Inc.,Industrial Goods,Aerospace/Defense,UK,6692296.01,23.73,1.38,2.36,2.12,7.93,"117,907",6.80,4.07%,-2.89%,0.50,0.68,67.10%,76.05
690,BAO,BAO Corp.,Industrial Goods,Farm & Construction Machinery,UK,6317984.52,36.55,2.51,0.99,7.25,54.54,"38,143",4.16,5.17%,-3.75%,0.68,1.30,48.79%,66.84
691,BAP,BAP Corp.,Industrial Goods,Industrial Equipment,China,1127427.42,19.90,1.88,2.49,2.22,9.18,"1,203,658",5.57,28.51%,20.11%,0.93,0.78,29.42%,60.13
692,BAQ,BAQ Holdings Inc.,Industrial Goods,Aerospace/Defense,China,67839225.35,28.31,3.10,2.78,1.87,72.69,"7,958",1.82,21.27%,-5.21%,0.13,1.73,31.93%,70.67
693,BAR,BAR Holdings Inc.,Industrial Goods,Farm & Construction Machinery,China,4813929.24,17.69,5.86,1.72,0.59,38.30,"101,789",-0.66,-6.42%,12.25%,0.87,0.15,28.19%,37.07
694,BAS,BAS Corp.,Industrial Goods,Industrial Equipment,China,2546514.00,18.30,,,2.00,24.29,"863,387",1.21,4.77%,18.91%,0.50,1.42,73.07%,70.11
695,BAT,BAT Holdings Inc.,Industrial Goods,Aerospace/Defense,Chile,492619.71,19.68,0.45,2.33,3.42,4.12,"241,020",3.56,23.50%,-0.24%,0.45,0.99,71.17%,69.41
696,BAU,BAU Holdings Inc.,Industrial Goods,Farm & Construction Machinery,Chile,46906623.75,15.10,0.60,4.61,1.53,67.62,"12,358",0.43,34.01%,10.47%,0.68,0.76,24.31%,57.96
697,BAV,BAV Holdings Inc.,Industrial Goods,Industrial Equipment,Chile,5246890.08,18.26,1.21,3.12,2.07,21.46,"5,801",4.69,29.09%,13.74%,0.94,1.57,55.30%,62.15
698,BAW,BAW Corp.,Industrial Goods,Aerospace/Defense,Switzerland,45822576.48,13.80,1.27,2.36,,124.68,"28,401",3.35,-0.23%,25.96%,0.25,1.17,23.52%,50.57
699,BAX,BAX Corp.,Industrial Goods,Farm & Construction Machinery,Switzerland,8524539.88,10.88,1.20,1.77,1.26,45.04,"37,013",5.81,7.48%,9.88%,0.45,0.80,22.72%,44.26
700,BAY,BAY Holdings Inc.,Industrial Goods,Industrial Equipment,USA,16599388.03,17.27,1.11,1.29,4.73,23.41,"352,984",7.03,11.42%,12.11%,2.45,1.16,12.44%,35.25
701,BAZ,BAZ Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,2031323.89,13.08,,1.88,5.09,24.92,"469,882",2.15,-21.71%,1.01%,1.32,0.98,27.57%,62.31
702,BBA,BBA Corp.,Industrial Goods,Farm & Construction Machinery,USA,5710551.11,59.94,1.02,7.62,2.45,24.66,"14,042",-2.32,5.70%,0.57%,0.78,1.40,28.91%,40.09
703,BBB,BBB Corp.,Industrial Goods,Industrial Equipment,USA,8818925.59,15.10,0.46,2.22,0.66,42.87,"20,289",-1.46,39.05%,19.50%,1.43,0.99,22.04%,39.24
704,BBC,BBC Corp.,Industrial Goods,Aerospace/Defense,USA,8045803.50,24.18,1.26,,1.12,44.97,"148,113",-0.13,4.05%,-0.38%,0.39,0.98,38.82%,66.05
705,BBD,BBD Corp.,Industrial Goods,Farm & Construction Machinery,USA,2854533.67,42.26,1.33,,0.55,43.19,"77,178",4.44,-2.41%,15.67%,0.27,1.00,6.22%,55.67
706,BBE,BBE Holdings Inc.,Industrial Goods,Industrial Equipment,USA,3578370.72,42.17,0.71,3.17,2.38,37.29,"19,204",4.21,1.23%,1.00%,0.61,1.79,33.50%,29.17
707,BBF,BBF Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,24570828.99,9.06,1.43,6.01,4.06,91.59,"72,949",-0.67,-8.78%,8.08%,2.13,1.36,36.68%,36.76
708,BBG,BBG Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,2174956.70,41.93,1.35,1.14,2.67,84.60,"721,996",-3.61,-17.16%,11.78%,1.01,0.32,29.21%,55.43
709,BBH,BBH Holdings Inc.,Industrial Goods,Industrial Equipment,USA,81685604.27,19.12,4.46,10.32,2.60,30.13,"5,377",-0.92,28.67%,3.16%,1.61,1.63,61.38%,53.16
710,BBI,BBI Corp.,Industrial Goods,Aerospace/Defense,USA,712527.12,41.07,0.78,1.50,1.66,24.45,"18,750",1.74,5.29%,13.16%,0.58,0.43,31.23%,69.12
711,BBJ,BBJ Corp.,Industrial Goods,Farm & Construction Machinery,USA,14575270.87,38.74,1.04,11.96,2.35,35.06,"233,021",-8.00,37.57%,12.36%,0.29,1.25,54.00%,56.40
712,BBK,BBK Holdings Inc.,Industrial Goods,Industrial Equipment,USA,3141606.93,72.87,1.08,1.66,1.47,36.67,"225,165",4.00,-7.86%,-2.83%,0.35,1.20,37.97%,68.56
713,BBL,BBL Holdings Inc.,Industrial Goods,Aerospace/Defense,USA,32200393.23,,,2.67,2.66,25.67,"8,727",4.19,-19.81%,13.05%,0.32,1.54,9.70%,52.82
714,BBM,BBM Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,39909648.04,46.47,1.58,3.69,3.35,50.41,"237,905",-1.87,0.50%,13.52%,0.74,1.15,67.69%,81.58
715,BBN,BBN Corp.,Industrial Goods,Industrial Equipment,USA,202937.18,26.81,2.31,0.41,2.05,32.14,"194,017",3.78,-3.25%,-3.38%,0.31,1.29,50.25%,72.09
716,BBO,BBO Corp.,Industrial Goods,Aerospace/Defense,USA,4735927.59,12.38,1.71,2.65,2.37,36.95,"33,594",3.14,9.96%,13.75%,0.38,1.27,32.93%,56.46
717,BBP,BBP Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,4084958.45,59.10,2.34,2.47,8.72,14.43,"68,911",5.20,-4.12%,20.98%,0.41,1.60,42.53%,35.94
718,BBQ,BBQ Corp.,Industrial Goods,Industrial Equipment,USA,1867817.59,35.83,2.16,7.79,2.21,51.18,"12,625",1.81,8.00%,18.66%,0.51,1.49,48.22%,68.71
719,BBR,BBR Corp.,Industrial Goods,Aerospace/Defense,USA,6456858.18,22.92,1.24,1.32,1.84,24.48,"488,658",8.06,21.45%,-10.48%,0.32,1.16,28.57%,37.69
720,BBS,BBS Holdings Inc.,Industrial Goods,Farm & Construction Machinery,USA,7070972.07,51.82,1.12,3.50,3.64,47.60,"202,002",4.29,15.14%,13.54%,0.29,1.23,83.30%,76.16
721,BBT,BBT Corp.,Industrial Goods,Industrial Equipment,USA,5777149.43,8.10,0.65,,1.66,46.68,"265,944",3.80,9.60%,8.16%,0.51,0.66,42.09%,45.91
722,BBU,BBU Corp.,Industrial Goods,Aerospace/Defense,USA,5313502.04,51.26,2.93,2.71,,73.27,"20,310",3.30,15.94%,8.57%,2.17,1.43,37.59%,21.62
723,BBV,BBV Corp.,Industrial Goods,Farm & Construction Machinery,USA,19578509.66,,0.61,3.28,0.84,47.67,"149,356",4.71,-1.12%,8.52%,0.30,0.80,23.68%,34.73
724,BBW,BBW Corp.,Services,Air Services,USA,12714881.87,13.97,1.52,1.46,2.14,78.97,"51,917",-7.93,-5.40%,12.12%,0.12,0.89,51.57%,69.96
725,BBX,BBX Holdings Inc.,Services,Education,USA,11181348.63,84.00,0.81,2.07,8.48,93.76,"210,180",0.01,6.96%,6.92%,0.60,0.71,21.00%,51.92
726,BBY,BBY Holdings Inc.,Services,Retail,USA,29481218.21,21.95,2.90,4.25,8.28,121.78,"392,774",0.61,16.54%,28.05%,0.78,1.05,13.20%,46.05
727,BBZ,BBZ Holdings Inc.,Services,Restaurants,USA,12647514.54,,2.48,0.95,1.95,63.14,"98,441",-2.89,8.14%,22.58%,1.14,1.43,47.48%,65.47
728,BCA,BCA Corp.,Services,Telecom Services,USA,31844645.51,13.34,3.11,,2.09,23.89,"56,825",-1.10,24.62%,11.01%,0.34,0.40,18.39%,53.56
729,BCB,BCB Corp.,Services,Air Services,USA,8432054.89,,3.18,,2.11,21.98,"83,436",-0.77,5.05%,17.53%,0.60,1.64,29.45%,56.27
730,BCC,BCC Holdings Inc.,Services,Education,USA,4986722.13,,4.68,1.28,3.95,25.54,"192,179",2.78,31.80%,48.39%,0.44,0.88,28.98%,51.64
731,BCD,BCD Corp.,Services,Retail,USA,20445307.57,20.58,3.14,1.12,2.07,50.97,"185,418",8.52,-5.12%,27.45%,0.56,1.30,40.69%,55.88
732,BCE,BCE Corp.,Services,Restaurants,USA,340463.10,16.89,2.99,0.93,1.36,22.76,"11,868",3.17,0.67%,-12.55%,0.29,0.45,16.82%,30.75
733,BCF,BCF Holdings Inc.,Services,Telecom Services,USA,2548222.40,42.35,2.03,2.80,5.17,24.27,"54,275",4.59,-10.01%,26.20%,0.20,1.46,8.37%,68.13
