country,region,year,quarter,income_group,primary_export_sector,currency_regime,imf_program_active,population,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,tourism_arrivals_millions,tourism_revenue_pct_gdp,fdi_inflow_pct_gdp,inflation_rate_pct,unemployment_rate_pct,central_bank_rate_pct,government_debt_pct_gdp,fiscal_balance_pct_gdp,trade_balance_pct_gdp,commodity_export_price_index,exchange_rate_volatility_index,education_spending_pct_gdp,political_stability_index,natural_disaster_event,disaster_damage_pct_gdp,imf_next_year_growth_forecast_pct,gdp_growth_rate_pct
 Paraguay ,South America,2017,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,735,812 people","$4,978",35.6%,41.1%,0.05 million visitors,0.5%,0.3%,6.1%,5.7%,9.7%,29.0%,1.0%,(5.0%),123.8,45.3,3.5%,-0.01,No,..,1.0%,2.8%
El  Salvador,Central America,2006,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,329,840 people","$3,496",33.9%,38.3%,0.77 million visitors,3.3%,3.0%,0.2%,4.2%,3.6%,72.9%,(5.7%),(3.7%),107.6,18.4,3.1%,-0.17,No,..,1.8%,1.5%
uruguay,South America,2007,Q4,High income,Agriculture & Agro-exports,Floating,No,"3,338,544 people","$16,500",38.4%,38.7%,0.85 million visitors,0.5%,5.5%,2.8%,8.2%,4.5%,62.2%,0.7%,(1.9%),93.6,35.2,4.7%,0.71,No,..,1.8%,1.1%
Trinidad and Tobago,Caribbean,2004,Q4,High income,Mining & Extractives,Floating,Yes,"1,420,017 people","$16,674",34.2%,48.8%,0.05 million visitors,0.5%,(1.4%),6.0%,5.6%,8.7%,60.4%,(0.5%),(12.7%),98.4,53.0,4.5%,0.4,No,..,1.1%,1.7%
 Bolivia ,South America,2005,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,422,009 people","$4,234",27.9%,49.4%,1.23 million visitors,3.7%,3.9%,5.2%,4.3%,6.2%,41.9%,(1.3%),(20.4%),97.8,37.3,3.6%,-0.85,No,..,0.8%,2.3%
Dominican Republic,Caribbean,2007,Q3,Upper middle income,Tourism & Services,Managed Float,No,"10,865,063 people","$7,114",36.7%,39.8%,2.07 million visitors,3.4%,4.5%,1.8%,2.8%,4.0%,46.3%,(2.8%),(2.7%),97.1,28.7,4.0%,-0.14,No,..,6.8%,5.2%
GUATEMALA,Central America,2009,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,503,203 people","$3,619",31.3%,35.9%,0.76 million visitors,1.5%,4.0%,8.3%,8.5%,9.2%,36.2%,(2.1%),(4.7%),112.6,27.9,..,-0.39,No,..,3.1%,2.5%
 Jamaica ,Caribbean,2008,Q1,Upper middle income,Tourism & Services,Floating,No,"2,796,932 people","$4,979",30.1%,37.0%,2.74 million visitors,8.0%,(0.9%),6.4%,9.4%,8.2%,96.3%,(3.9%),(7.2%),113.0,29.3,5.4%,-0.4,No,..,0.8%,(0.6%)
Paraguay,South America,2004,Q3,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,811,884 people","$6,723",31.2%,30.0%,0.05 million visitors,2.0%,2.2%,2.9%,3.6%,6.0%,29.5%,(1.0%),0.5%,99.5,49.1,3.6%,-1.21,No,..,2.3%,2.3%
 Jamaica ,Caribbean,2018,Q3,Upper middle income,Tourism & Services,Floating,No,"2,753,556 people","$5,308",26.7%,45.9%,2.10 million visitors,5.5%,1.1%,2.9%,4.3%,4.1%,98.4%,(4.1%),(20.4%),112.9,31.4,4.8%,-0.32,No,..,1.0%,2.1%
Panama,Central America,2023,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,299,478 people","$15,562",27.6%,36.9%,0.97 million visitors,6.2%,(0.9%),1.8%,6.5%,4.2%,57.1%,(1.4%),(10.0%),94.3,18.3,3.2%,0.01,No,..,4.1%,3.4%
TRINIDAD AND TOBAGO,Caribbean,2012,Q2,High income,Mining & Extractives,Floating,Yes,"1,420,920 people","$16,323",42.1%,47.3%,0.33 million visitors,1.2%,..,7.8%,6.4%,9.6%,61.5%,(3.4%),(5.1%),85.3,36.8,3.8%,0.61,No,..,1.0%,1.4%
uruguay,South America,2012,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,416,718 people","$17,556",35.9%,36.2%,1.73 million visitors,2.6%,1.0%,7.9%,8.4%,10.9%,71.1%,(3.7%),(0.3%),86.6,49.0,5.1%,1.29,No,..,2.4%,3.5%
Dominican Republic,Caribbean,2019,Q3,Upper middle income,Tourism & Services,Managed Float,No,"10,745,026 people","$7,802",28.9%,40.9%,1.13 million visitors,5.1%,4.0%,5.5%,4.2%,6.5%,47.2%,(3.3%),(11.4%),97.1,45.9,3.8%,-0.5,No,..,3.8%,2.7%
honduras,Central America,2005,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,453,970 people","$2,602",41.7%,45.6%,1.87 million visitors,2.1%,2.7%,5.4%,7.8%,8.1%,44.8%,(5.1%),(5.4%),96.8,35.1,4.5%,-0.77,No,..,4.4%,3.6%
GUATEMALA,Central America,2011,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,467,727 people","$5,571",34.2%,50.7%,0.49 million visitors,1.3%,3.7%,6.8%,7.4%,9.2%,38.9%,(5.3%),(16.0%),111.0,31.4,3.8%,-0.55,Yes,8.2%,3.0%,0.3%
Honduras,Central America,2020,Q3,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,548,177 people","$3,186",39.8%,47.8%,0.05 million visitors,3.4%,(0.6%),2.4%,6.2%,5.1%,58.8%,(1.5%),(8.8%),110.9,34.2,5.3%,-0.8,No,..,2.6%,1.3%
 Guyana ,South America,2016,Q3,High income,Mining & Extractives,Floating,No,"779,926 people","$14,453",37.5%,41.9%,1.11 million visitors,0.5%,2.4%,3.1%,10.2%,6.1%,38.2%,(0.6%),(5.0%),110.0,19.3,5.2%,0.34,No,..,10.8%,10.2%
Costa  Rica,Central America,2014,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,022,121 people","$11,874",41.7%,47.1%,3.21 million visitors,7.6%,3.3%,4.9%,7.1%,8.7%,51.7%,(1.0%),(5.5%),89.2,38.1,3.9%,0.64,No,..,3.7%,3.6%
uruguay,South America,2010,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,491,387 people","$16,440",38.9%,40.8%,1.45 million visitors,4.4%,0.9%,6.4%,7.2%,8.2%,69.4%,(2.4%),(1.1%),85.4,36.7,5.2%,0.65,No,..,2.1%,2.4%
Paraguay,South America,2008,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,717,983 people","$6,356",42.1%,48.2%,1.09 million visitors,1.1%,4.4%,4.7%,9.3%,7.6%,33.4%,(0.2%),(5.5%),114.6,49.5,4.0%,0.09,No,..,2.9%,1.9%
Uruguay,South America,2019,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,424,446 people","$15,534",33.0%,42.7%,1.51 million visitors,0.7%,(3.8%),(0.1%),9.4%,2.5%,78.2%,(0.4%),(10.0%),99.1,20.9,4.9%,1.0,No,..,1.5%,1.2%
Uruguay,South America,2019,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,438,940 people","$16,815",38.4%,41.8%,0.69 million visitors,0.5%,1.6%,8.5%,5.7%,12.7%,78.2%,(5.1%),(3.9%),99.1,29.5,4.2%,0.95,No,..,0.2%,0.7%
Paraguay,South America,2017,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,753,555 people","$6,494",41.4%,52.7%,0.05 million visitors,0.5%,4.4%,6.1%,10.7%,7.1%,29.0%,(2.9%),(10.8%),123.8,55.2,3.3%,-0.5,No,..,2.1%,3.9%
Dominican  Republic,Caribbean,2012,Q2,Upper middle income,Tourism & Services,Managed Float,No,"10,776,634 people","$8,208",40.9%,44.3%,3.02 million visitors,5.1%,4.3%,7.2%,6.1%,8.9%,48.4%,(0.3%),(3.7%),89.8,26.4,4.6%,0.0,No,..,3.3%,3.4%
Guyana,South America,2022,Q1,High income,Mining & Extractives,Floating,No,"731,715 people","$14,034",40.7%,38.7%,0.05 million visitors,0.5%,6.2%,5.8%,3.7%,8.5%,41.9%,(0.6%),2.0%,105.5,38.4,3.2%,-0.16,No,..,7.5%,8.6%
Uruguay,South America,2008,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,368,143 people","$17,442",34.8%,36.9%,0.25 million visitors,1.2%,1.5%,5.2%,5.8%,9.0%,65.9%,(3.0%),(1.4%),90.6,13.5,2.1%,1.66,No,..,3.4%,3.0%
trinidad and tobago,Caribbean,2014,Q3,High income,Mining & Extractives,Floating,No,"1,423,522 people","$16,253",36.6%,36.5%,0.05 million visitors,0.5%,1.0%,5.3%,8.1%,8.2%,61.4%,(2.3%),(1.5%),85.7,28.4,3.8%,0.91,Yes,2.8%,(3.0%),(2.1%)
 Nicaragua ,Central America,2016,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,379,669 people","$3,205",36.8%,47.0%,0.05 million visitors,0.5%,4.5%,7.7%,6.5%,8.0%,37.7%,(3.2%),(9.8%),104.5,37.9,2.8%,-1.62,No,..,2.5%,1.5%
 Paraguay ,South America,2010,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,810,198 people","$5,700",40.7%,39.7%,0.05 million visitors,0.5%,4.4%,1.1%,4.1%,5.3%,32.4%,(3.9%),1.5%,112.3,24.8,4.5%,-0.55,No,..,1.2%,2.1%
Ecuador,South America,2005,Q4,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,514,854 people","$6,107",43.9%,47.9%,1.91 million visitors,0.6%,1.6%,8.0%,10.0%,11.1%,59.1%,(0.7%),(4.6%),101.6,27.6,3.7%,-0.77,No,..,1.2%,1.8%
Paraguay,South America,2009,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,864,286 people","$6,633",35.6%,45.5%,0.60 million visitors,2.8%,2.0%,1.1%,9.2%,5.2%,32.8%,(4.5%),(10.4%),114.3,22.2,4.7%,-0.15,No,..,4.1%,3.7%
 Ecuador ,South America,2015,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,598,620 people","$6,242",37.3%,32.2%,1.62 million visitors,0.5%,5.5%,6.4%,7.2%,7.7%,66.6%,(5.3%),5.6%,85.6,24.9,4.0%,-0.49,No,..,(0.6%),2.0%
BOLIVIA,South America,2014,Q4,Lower middle income,Mining & Extractives,Managed Float,Yes,"11,559,812 people","$3,167",42.9%,59.5%,0.85 million visitors,3.0%,1.6%,6.0%,5.7%,8.1%,47.1%,(1.8%),(16.4%),91.7,16.3,3.3%,-0.37,No,..,0.3%,1.5%
 Belize ,Central America,2015,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"366,337 people","$5,387",41.9%,45.3%,1.48 million visitors,8.6%,2.3%,5.9%,8.6%,9.0%,90.7%,(4.9%),(3.5%),87.2,2.8,5.6%,-0.06,No,..,0.6%,0.9%
trinidad and tobago,Caribbean,2017,Q2,High income,Mining & Extractives,Floating,No,"1,450,921 people","$17,106",46.0%,49.0%,0.40 million visitors,0.5%,2.8%,6.6%,5.9%,8.6%,64.4%,(1.4%),(2.8%),94.7,47.5,3.5%,0.01,No,..,0.4%,(0.5%)
PANAMA,Central America,2019,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,252,323 people","$15,113",32.6%,42.4%,1.21 million visitors,6.4%,2.7%,4.7%,9.7%,5.0%,59.9%,(2.2%),(10.1%),101.2,21.6,..,0.3,No,..,5.9%,5.6%
dominican republic,Caribbean,2023,Q3,Upper middle income,Tourism & Services,Managed Float,No,"10,791,999 people","$8,666",36.0%,44.2%,2.84 million visitors,8.7%,3.0%,5.4%,10.3%,6.0%,51.6%,0.0%,(9.2%),90.8,42.3,6.5%,-0.35,No,..,2.8%,3.8%
Honduras,Central America,2006,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,550,395 people","$2,174",46.0%,47.0%,..,3.2%,3.9%,5.7%,5.5%,5.5%,46.1%,(2.8%),(0.4%),99.5,50.3,4.0%,-0.61,No,..,(0.1%),2.7%
 Ecuador ,South America,2022,Q4,Upper middle income,Mining & Extractives,Pegged (Dollarized),Yes,"17,467,243 people","$5,757",35.3%,44.0%,0.40 million visitors,2.6%,1.8%,8.1%,7.1%,8.6%,65.2%,(3.1%),(8.6%),72.2,27.1,3.6%,-0.4,No,..,(0.7%),1.1%
paraguay,South America,2007,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,719,857 people","$5,293",41.7%,48.9%,0.47 million visitors,1.4%,0.2%,6.6%,8.8%,8.3%,31.2%,(0.6%),(7.9%),106.9,33.9,6.0%,-0.06,No,..,1.0%,1.5%
EL SALVADOR,Central America,2013,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,218,862 people","$3,402",41.8%,46.6%,0.86 million visitors,3.3%,1.0%,5.2%,9.4%,6.0%,83.4%,(2.7%),(5.7%),91.2,18.4,2.7%,-1.02,No,..,1.3%,0.9%
JAMAICA,Caribbean,2011,Q1,Upper middle income,Tourism & Services,Floating,No,"2,764,201 people","$5,940",35.7%,45.6%,2.33 million visitors,6.8%,3.3%,1.1%,5.3%,2.9%,95.0%,(0.0%),(10.2%),109.4,44.4,3.8%,0.07,Yes,0.5%,2.3%,2.4%
Uruguay,South America,2018,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,468,515 people","$17,101",47.0%,46.3%,0.05 million visitors,1.8%,3.6%,5.8%,5.8%,8.3%,78.8%,(3.9%),(0.9%),91.1,42.5,5.2%,1.87,No,..,3.3%,3.3%
 Paraguay ,South America,2012,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,735,295 people","$6,375",32.6%,43.1%,0.60 million visitors,0.5%,3.4%,8.3%,9.2%,11.2%,29.9%,(0.6%),(10.0%),114.8,57.8,4.5%,-0.35,No,..,0.7%,3.4%
El  Salvador,Central America,2011,Q1,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,316,420 people","$3,725",30.9%,21.1%,1.18 million visitors,2.5%,(0.5%),3.2%,5.0%,4.2%,78.4%,(3.9%),9.1%,94.9,21.3,2.9%,-0.55,No,..,(0.1%),(0.8%)
COSTA RICA,Central America,2007,Q2,Upper middle income,Tourism & Services,Managed Float,No,"5,050,747 people","$12,527",30.8%,26.7%,3.42 million visitors,5.5%,(0.3%),6.9%,9.0%,10.3%,50.1%,(2.3%),2.9%,101.2,41.6,4.9%,0.15,No,..,0.8%,1.0%
 Uruguay ,South America,2011,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,339,770 people","$17,129",29.5%,40.4%,0.95 million visitors,3.0%,1.3%,5.8%,12.4%,7.7%,70.0%,(3.3%),(11.2%),87.3,47.2,5.0%,1.72,No,..,2.5%,1.7%
BOLIVIA,South America,2004,Q2,Lower middle income,Mining & Extractives,Managed Float,No,"11,444,973 people","$3,420",37.8%,37.8%,0.79 million visitors,0.5%,5.7%,5.8%,9.0%,9.1%,40.8%,(0.6%),(0.8%),102.6,27.7,3.7%,-0.28,No,..,4.3%,2.0%
ecuador,South America,2009,Q4,Upper middle income,Mining & Extractives,Pegged (Dollarized),Yes,"17,467,782 people","$5,333",45.2%,56.7%,0.82 million visitors,1.6%,5.3%,4.3%,4.2%,6.5%,65.4%,0.6%,(11.3%),94.8,8.9,3.3%,-0.15,No,..,3.6%,1.8%
costa rica,Central America,2012,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,034,219 people","$12,224",38.1%,31.6%,3.11 million visitors,9.8%,4.1%,4.7%,9.4%,7.7%,52.4%,(3.0%),6.6%,98.5,9.6,5.4%,0.86,No,..,5.9%,5.2%
Uruguay,South America,2009,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,350,624 people","$17,020",32.3%,47.3%,2.15 million visitors,5.4%,4.8%,4.2%,8.1%,7.1%,66.7%,(2.0%),(12.9%),79.6,35.4,5.0%,0.86,No,..,2.2%,2.9%
BELIZE,Central America,2016,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"418,126 people","$5,354",27.2%,18.3%,1.69 million visitors,6.7%,0.1%,6.5%,8.8%,8.2%,89.1%,(1.8%),8.9%,82.6,12.5,5.4%,-0.07,No,..,3.4%,0.8%
El  Salvador,Central America,2006,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,298,738 people","$4,260",30.7%,36.2%,0.87 million visitors,3.4%,(0.5%),6.5%,7.9%,10.5%,72.9%,(3.2%),(4.9%),107.6,27.3,5.9%,-0.03,No,..,2.2%,2.1%
EL SALVADOR,Central America,2020,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,286,945 people","$5,182",30.8%,34.3%,0.75 million visitors,3.2%,1.2%,2.7%,8.4%,4.9%,80.8%,(4.1%),(2.8%),97.7,19.8,4.7%,-0.49,No,..,3.7%,2.3%
 Belize ,Central America,2019,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"423,096 people","$4,956",36.3%,30.8%,2.94 million visitors,4.7%,2.3%,5.7%,7.3%,5.7%,90.7%,(3.4%),6.6%,69.5,14.1,4.9%,-0.36,No,..,0.6%,1.5%
Belize,Central America,2009,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"424,061 people","$4,694",25.0%,30.3%,2.25 million visitors,6.8%,3.6%,8.7%,9.1%,9.8%,89.4%,(3.6%),(4.4%),83.9,14.0,3.9%,-0.11,No,..,1.2%,1.0%
EL SALVADOR,Central America,2021,Q1,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,321,333 people","$5,161",46.6%,48.2%,1.18 million visitors,1.9%,1.3%,5.9%,2.3%,9.2%,82.9%,(3.9%),(1.0%),96.9,10.9,4.9%,-0.88,No,..,(1.4%),(0.6%)
HONDURAS,Central America,2008,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,517,698 people","$2,710",42.8%,50.3%,0.57 million visitors,0.5%,(5.1%),3.2%,6.5%,4.3%,49.8%,(1.8%),(8.1%),102.0,44.5,6.8%,-0.3,No,..,2.8%,2.4%
nicaragua,Central America,2015,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,468,455 people","$1,350",38.5%,45.8%,0.84 million visitors,2.7%,3.1%,5.8%,8.9%,7.9%,38.7%,(3.8%),(7.1%),103.6,25.9,4.5%,-1.25,No,..,5.2%,3.8%
nicaragua,Central America,2013,Q3,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,550,445 people","$2,146",36.0%,43.4%,0.84 million visitors,0.5%,4.6%,7.5%,4.2%,9.7%,36.7%,(2.3%),(6.2%),104.3,53.0,3.7%,-1.33,No,..,(0.1%),0.9%
Uruguay,South America,2005,Q4,High income,Agriculture & Agro-exports,Floating,No,"3,309,354 people","$16,784",35.1%,41.3%,1.08 million visitors,2.6%,2.0%,3.7%,10.4%,7.2%,60.3%,(1.8%),(7.1%),98.6,37.2,3.9%,1.37,No,..,3.9%,3.1%
honduras,Central America,2019,Q3,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,487,141 people","$2,847",40.3%,43.9%,0.05 million visitors,4.2%,0.9%,6.4%,5.9%,7.8%,57.3%,(5.7%),(1.7%),103.9,38.3,..,-0.59,No,..,1.8%,1.7%
guatemala,Central America,2014,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,471,260 people","$5,712",36.7%,51.2%,0.27 million visitors,0.5%,2.8%,5.6%,1.5%,6.9%,42.1%,(4.3%),(15.4%),111.6,28.6,4.1%,-0.86,No,..,2.0%,1.5%
 Guatemala ,Central America,2013,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,407,476 people","$4,702",35.3%,44.5%,0.94 million visitors,2.0%,2.6%,5.7%,8.6%,6.8%,40.4%,(3.7%),(10.5%),113.7,37.7,3.5%,0.03,No,..,4.8%,4.0%
Honduras,Central America,2006,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,473,644 people","$2,644",41.6%,34.6%,0.58 million visitors,2.0%,0.3%,4.1%,4.7%,7.1%,46.1%,(5.6%),6.9%,99.5,43.5,4.7%,-0.23,No,..,0.8%,2.0%
guyana,South America,2005,Q4,High income,Mining & Extractives,Floating,No,"845,296 people","$14,183",48.1%,60.9%,0.76 million visitors,2.9%,5.9%,4.5%,6.8%,6.3%,34.7%,(4.0%),(11.7%),105.5,30.3,3.5%,-0.7,No,..,11.0%,11.4%
Nicaragua,Central America,2017,Q3,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,500,269 people","$2,543",37.1%,49.3%,0.21 million visitors,4.1%,0.5%,4.1%,11.3%,7.0%,38.7%,(1.7%),(12.3%),104.7,25.6,5.2%,-0.36,No,..,1.9%,2.0%
PANAMA,Central America,2010,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,202,495 people","$15,730",35.3%,38.5%,0.55 million visitors,1.8%,2.6%,6.6%,5.6%,8.1%,53.1%,(1.5%),(4.3%),103.9,11.5,5.4%,0.29,No,..,4.6%,3.4%
JAMAICA,Caribbean,2022,Q4,Upper middle income,Tourism & Services,Floating,No,"2,825,408 people","$4,312",36.1%,34.8%,2.50 million visitors,8.9%,(1.5%),5.3%,12.0%,6.1%,100.0%,(2.2%),1.9%,112.0,34.6,4.2%,-0.12,No,..,1.7%,1.5%
El  Salvador,Central America,2013,Q1,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,347,221 people","$4,325",39.1%,48.1%,0.10 million visitors,2.4%,3.5%,9.4%,14.6%,11.4%,83.4%,(1.1%),(9.8%),91.2,22.8,4.4%,-1.16,No,..,2.0%,2.5%
Costa  Rica,Central America,2012,Q1,Upper middle income,Tourism & Services,Managed Float,No,"5,016,106 people","$12,457",27.7%,28.1%,2.85 million visitors,9.9%,1.1%,1.5%,5.4%,3.8%,52.4%,(0.3%),(1.0%),98.5,30.2,5.6%,0.63,No,..,6.4%,6.2%
Panama,Central America,2016,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,167,833 people","$15,390",23.7%,30.5%,1.65 million visitors,4.1%,1.2%,4.5%,9.3%,5.2%,55.8%,(4.8%),(7.0%),106.2,22.3,4.8%,0.0,No,..,1.8%,2.1%
Paraguay,South America,2004,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,771,102 people","$5,755",37.2%,41.4%,0.63 million visitors,1.9%,1.3%,4.8%,7.2%,6.9%,29.5%,(4.2%),(4.1%),99.5,42.0,4.5%,-0.46,No,..,1.1%,1.4%
Honduras,Central America,2009,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,436,835 people","$1,450",39.4%,52.1%,1.07 million visitors,1.6%,5.4%,8.7%,6.8%,9.8%,50.7%,(4.7%),(14.0%),100.8,35.2,6.2%,-0.99,No,..,4.7%,1.8%
dominican republic,Caribbean,2012,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,798,806 people","$8,165",38.0%,42.1%,0.99 million visitors,6.1%,3.1%,2.2%,7.1%,4.9%,48.4%,(3.2%),(4.3%),89.8,26.2,4.2%,-0.27,No,..,3.9%,4.1%
Panama,Central America,2007,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,209,640 people","$14,777",34.5%,40.0%,0.73 million visitors,5.4%,(0.3%),2.3%,8.8%,2.3%,49.2%,(7.8%),(6.2%),101.7,9.5,4.5%,0.37,No,..,2.7%,1.9%
Ecuador,South America,2016,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),Yes,"17,446,943 people","$6,226",39.1%,43.1%,0.57 million visitors,1.7%,2.7%,2.6%,7.6%,5.5%,66.3%,(8.2%),(4.1%),87.3,2.8,4.3%,0.01,No,..,1.7%,1.1%
 Bolivia ,South America,2022,Q2,Lower middle income,Mining & Extractives,Managed Float,No,"11,524,770 people","$3,357",46.8%,57.8%,0.44 million visitors,0.5%,3.2%,9.4%,4.9%,9.8%,50.6%,2.5%,(11.2%),74.9,23.4,5.4%,0.03,No,..,2.9%,3.5%
Belize,Central America,2007,Q3,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"387,762 people","$5,093",36.7%,36.0%,2.34 million visitors,3.8%,1.5%,2.7%,6.9%,4.4%,89.0%,(2.3%),1.6%,85.8,26.5,..,-0.16,No,..,(3.1%),(0.4%)
 Trinidad and Tobago ,Caribbean,2021,Q4,High income,Mining & Extractives,Floating,No,"1,447,873 people","$16,081",43.9%,55.9%,0.27 million visitors,0.8%,1.8%,0.2%,6.8%,4.0%,69.7%,(3.9%),(11.9%),97.3,38.1,4.2%,-0.24,No,..,3.7%,(0.1%)
panama,Central America,2018,Q3,High income,Trade & Logistics,Pegged (Dollarized),No,"4,160,189 people","$16,250",26.4%,32.3%,1.09 million visitors,4.7%,8.3%,2.8%,10.5%,3.2%,57.0%,(2.2%),(3.5%),100.4,10.1,4.9%,-0.16,No,..,4.7%,4.2%
paraguay,South America,2019,Q1,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,877,864 people","$6,704",40.2%,40.3%,1.00 million visitors,0.5%,5.5%,4.5%,5.8%,6.5%,27.3%,(0.5%),0.9%,126.2,41.5,4.6%,-0.07,No,..,3.0%,3.8%
Guatemala,Central America,2023,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,588,695 people","$4,582",38.3%,37.3%,1.33 million visitors,3.4%,4.4%,6.8%,10.7%,8.9%,46.2%,(4.3%),1.3%,87.7,22.5,2.6%,-0.87,No,..,0.6%,2.4%
PARAGUAY,South America,2020,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,810,953 people","$5,125",40.9%,42.2%,0.05 million visitors,0.5%,2.2%,5.2%,5.0%,7.0%,28.2%,(1.9%),(0.9%),129.2,27.6,4.3%,-0.31,No,..,3.7%,3.3%
Dominican Republic,Caribbean,2009,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,726,749 people","$8,616",31.2%,34.1%,2.52 million visitors,5.9%,(1.8%),4.0%,9.9%,5.5%,46.1%,(4.4%),(5.8%),94.4,41.0,5.3%,-0.15,No,..,4.6%,3.4%
 Dominican Republic ,Caribbean,2007,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,838,119 people","$8,003",32.3%,47.7%,2.82 million visitors,6.2%,4.6%,6.6%,3.7%,9.1%,46.3%,(2.9%),(15.5%),97.1,38.7,5.5%,-0.25,No,..,5.2%,4.5%
Belize,Central America,2021,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"437,902 people","$4,653",30.0%,41.5%,3.26 million visitors,7.0%,2.7%,4.1%,7.0%,6.5%,89.2%,(9.3%),(14.2%),71.9,13.4,4.9%,-0.15,No,..,(1.2%),0.6%
Costa Rica,Central America,2018,Q1,Upper middle income,Tourism & Services,Managed Float,No,"5,020,436 people","$12,654",36.4%,47.0%,4.70 million visitors,9.5%,2.7%,6.7%,8.8%,5.7%,54.1%,(2.2%),(11.0%),93.7,54.4,..,0.31,No,..,5.1%,4.6%
Nicaragua,Central America,2023,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,364,077 people","$2,242",36.9%,49.5%,..,2.2%,5.0%,3.1%,5.7%,5.7%,40.8%,(3.5%),(12.7%),97.4,11.9,6.5%,-0.15,No,..,1.5%,1.8%
Nicaragua,Central America,2003,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,432,022 people",$971,42.4%,48.5%,0.12 million visitors,4.6%,1.1%,4.3%,6.7%,5.3%,35.3%,(4.5%),(4.9%),93.0,36.3,3.6%,-1.19,No,..,0.7%,1.0%
