No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
517,FTX,FTX Co.,Grocery Retail,Convenience,USA,2675248.31,14.86,1.01,1.61,6.87,13.71,"25,043",3.02,-6.18%,16.74%,0.09,0.32,14.48%,57.55,22.15%,29.02%,
518,FTY,FTY Foods Inc.,Grocery Retail,Natural / Organic Retail,USA,15328207.32,16.62,1.10,1.77,3.36,94.78,"373,161",2.73,20.07%,10.67%,0.47,0.72,57.91%,30.99,25.54%,58.60%,
519,FTZ,FTZ Brands,Grocery Retail,Supermarkets,USA,361463.23,34.09,0.77,1.11,4.00,45.69,"17,525",4.80,20.33%,5.25%,1.05,1.05,55.09%,59.31,18.75%,45.93%,
520,FUA,FUA Foods Inc.,Grocery Retail,Club & Warehouse,USA,15620623.61,25.11,0.64,,4.87,100.28,"6,930",3.63,16.55%,5.37%,0.56,1.13,52.79%,47.76,21.00%,38.08%,
521,TSN,Tyson Foods Inc.,Meat & Protein,Poultry,USA,2422167.96,13.12,1.48,1.62,1.09,64.26,"1,870,431",6.44,4.48%,5.84%,0.40,0.52,25.76%,45.63,42.24%,40.94%,
522,ADM,Archer-Daniels-Midland Co.,Agribusiness,Grain Merchants,USA,4655547.88,16.80,1.31,1.55,0.92,30.57,"679,958",5.64,12.41%,10.96%,0.24,1.19,25.71%,71.24,24.30%,43.00%,
523,FUD,FUD Foods Inc.,Agribusiness,Seeds & Crop Science,USA,917076.48,28.27,2.46,0.46,6.27,32.43,"138,113",1.16,7.55%,4.45%,1.92,1.58,12.93%,60.88,35.49%,67.15%,
524,FUE,FUE Foods Inc.,Agribusiness,Milling,USA,5142998.22,23.19,1.54,1.28,3.11,15.72,"242,113",3.31,17.92%,1.60%,0.29,0.76,83.49%,40.23,20.97%,49.31%,
525,FUF,FUF Brands,Agribusiness,Grain Merchants,USA,20434051.09,32.44,0.92,0.76,0.64,72.60,"119,742",4.33,8.06%,26.97%,0.45,0.20,34.52%,50.90,20.87%,44.13%,
526,FUG,FUG Foods Inc.,Agribusiness,Fertilizer,USA,15893607.80,12.13,0.86,2.54,3.60,20.86,"305,921",2.54,6.27%,15.80%,0.57,0.56,30.10%,50.88,38.74%,61.13%,
527,FUH,FUH Co.,Agribusiness,Seeds & Crop Science,USA,806330.30,19.82,3.40,1.88,0.68,13.41,"379,263",6.72,-4.78%,-9.72%,0.24,1.39,12.35%,55.50,40.22%,56.67%,
528,FUI,FUI Foods Inc.,Agribusiness,Milling,USA,7739549.52,27.61,4.71,2.09,2.40,65.22,"381,555",1.67,10.76%,10.74%,0.58,0.72,18.78%,52.81,26.02%,54.17%,
529,FUJ,FUJ Brands,Agribusiness,Grain Merchants,USA,432976.88,,1.36,,1.58,14.35,"2,241",0.84,10.30%,7.75%,1.04,1.07,12.67%,48.06,38.14%,28.35%,
530,FUK,FUK Brands,Agribusiness,Fertilizer,USA,8371066.43,16.89,2.27,1.12,2.75,30.37,"142,475",-2.93,-7.31%,5.44%,0.93,0.86,26.00%,30.13,43.22%,40.05%,
531,FUL,FUL Brands,Agribusiness,Seeds & Crop Science,USA,54095331.69,17.84,1.07,4.27,3.76,85.10,"513,155",1.62,9.26%,18.02%,0.75,0.88,62.12%,80.19,34.50%,43.75%,
532,FUM,FUM Brands,Agribusiness,Milling,USA,1871799.92,3.38,0.55,1.92,1.75,14.23,"19,979",2.15,2.45%,30.07%,0.50,1.49,56.53%,49.42,43.93%,34.86%,
533,FUN,FUN Co.,Agribusiness,Grain Merchants,USA,2987646.54,30.81,0.99,,3.83,69.90,"43,989",0.76,1.13%,16.05%,0.94,0.93,38.52%,64.61,33.76%,40.88%,
534,FUO,FUO Foods Inc.,Agribusiness,Fertilizer,USA,205408309.74,14.90,1.62,0.69,1.41,132.75,"323,194",3.70,0.52%,12.30%,0.83,0.78,61.40%,70.06,16.41%,47.41%,
535,FUP,FUP Foods Inc.,Agribusiness,Seeds & Crop Science,USA,1369171.55,17.46,1.72,3.68,1.54,46.05,"65,520",-2.90,7.31%,-2.37%,0.39,0.91,58.59%,43.81,32.29%,41.31%,
536,FUQ,FUQ Co.,Agribusiness,Milling,USA,1501216.83,43.32,1.57,0.69,0.94,76.09,"80,311",-0.32,-2.79%,18.04%,0.52,0.39,15.90%,61.50,34.90%,45.89%,
537,FUR,FUR Foods Inc.,Agribusiness,Grain Merchants,USA,990360.43,17.33,0.88,1.48,2.14,13.01,"102,420",-0.94,2.37%,20.07%,0.65,0.48,72.94%,63.34,23.61%,42.16%,
538,FUS,FUS Brands,Agribusiness,Fertilizer,USA,1057101.32,16.11,1.20,1.09,1.76,16.21,"76,345",5.21,9.62%,5.70%,0.92,1.04,19.41%,46.71,30.28%,35.02%,
539,FUT,FUT Brands,Agribusiness,Seeds & Crop Science,USA,4409234.71,40.10,3.11,0.73,2.06,23.65,"50,092",5.31,-17.14%,9.49%,0.60,0.38,47.87%,38.84,23.25%,45.95%,
540,FUU,FUU Foods Inc.,Agribusiness,Milling,USA,24824118.58,12.33,0.78,1.77,12.45,50.34,"40,900",2.74,2.92%,22.91%,0.37,1.40,25.06%,48.65,21.78%,24.70%,
541,FUV,FUV Co.,Agribusiness,Grain Merchants,USA,2154488.66,12.64,,1.25,2.68,7.53,"374,384",8.11,-0.49%,5.36%,0.27,0.84,3.89%,43.71,14.39%,30.00%,
542,FUW,FUW Foods Inc.,Agribusiness,Fertilizer,USA,5819233.08,43.67,1.13,4.36,3.39,21.39,"32,137",6.30,-5.53%,12.26%,0.40,1.12,23.28%,30.23,39.42%,40.40%,
543,FUX,FUX Foods Inc.,Agribusiness,Seeds & Crop Science,USA,1633540.32,14.47,4.01,1.46,1.11,24.73,"78,328",4.17,29.74%,6.65%,0.43,0.86,49.79%,42.49,29.10%,32.38%,
544,FUY,FUY Co.,Agribusiness,Milling,USA,1383957.05,27.80,1.41,0.84,2.39,27.08,"196,430",0.61,8.36%,2.63%,0.36,0.86,68.35%,45.72,25.86%,35.35%,
545,FUZ,FUZ Foods Inc.,Agribusiness,Grain Merchants,USA,4882278.77,20.59,1.85,1.01,1.92,52.75,"3,818",3.65,7.97%,3.07%,0.25,0.92,35.65%,78.58,42.15%,39.13%,
546,FVA,FVA Foods Inc.,Agribusiness,Fertilizer,USA,3279440.36,,2.15,1.69,0.97,43.64,"1,455",6.17,-1.32%,-1.89%,0.34,0.69,34.29%,16.45,25.25%,36.04%,
547,FVB,FVB Foods Inc.,Agribusiness,Seeds & Crop Science,USA,917440.63,29.99,,5.56,2.33,34.52,"34,897",5.05,9.99%,23.16%,0.67,0.70,53.46%,63.67,36.45%,38.12%,
548,FVC,FVC Co.,Agribusiness,Milling,USA,1376618.18,14.68,2.04,1.57,4.06,21.31,"6,296",5.70,-5.69%,8.26%,0.20,0.80,19.75%,34.98,41.13%,33.56%,
549,FVD,FVD Co.,Agribusiness,Grain Merchants,USA,2005866.11,50.38,1.41,6.54,4.60,28.01,"79,879",0.75,18.06%,-3.23%,0.38,1.28,39.61%,32.14,30.88%,47.24%,
550,FVE,FVE Brands,Agribusiness,Fertilizer,USA,20764938.99,20.13,2.06,1.31,2.62,70.29,"67,912",-0.78,4.39%,-2.60%,0.95,0.54,21.44%,44.82,44.52%,32.18%,
551,FVF,FVF Brands,Agribusiness,Seeds & Crop Science,USA,3290590.85,16.25,2.37,2.56,0.56,28.43,"25,850",2.16,-19.68%,0.76%,0.25,1.11,39.79%,46.99,25.85%,41.65%,
552,FVG,FVG Foods Inc.,Agribusiness,Milling,USA,376778.73,16.31,3.06,,1.88,15.14,"83,850",1.73,12.87%,-3.27%,1.18,1.36,63.99%,68.04,38.71%,34.47%,
553,FVH,FVH Foods Inc.,Agribusiness,Grain Merchants,USA,9382486.61,20.10,1.12,1.63,1.04,35.33,"153,284",2.81,13.14%,-0.39%,0.64,0.62,35.29%,51.75,39.81%,31.67%,
554,FVI,FVI Foods Inc.,Agribusiness,Fertilizer,USA,1681430.48,16.80,2.47,,2.08,33.70,"353,991",4.17,17.94%,-4.70%,0.84,0.82,61.86%,72.63,42.53%,53.68%,
555,FVJ,FVJ Foods Inc.,Agribusiness,Seeds & Crop Science,USA,245933.35,18.20,0.67,3.56,1.26,13.03,"177,148",5.35,16.21%,13.74%,0.86,0.72,45.41%,23.61,41.99%,50.15%,
556,FVK,FVK Brands,Agribusiness,Milling,USA,3937915.80,46.95,2.05,5.25,3.90,27.23,"1,795",-2.97,0.05%,11.07%,4.61,0.20,67.80%,43.26,31.10%,46.86%,
557,FVL,FVL Brands,Agribusiness,Grain Merchants,USA,6221841.69,15.86,1.47,0.98,5.57,38.04,"133,865",4.02,-0.25%,-2.90%,2.21,0.77,57.46%,52.91,27.17%,24.30%,
558,FVM,FVM Foods Inc.,Agribusiness,Fertilizer,USA,30144042.57,14.08,1.06,1.15,1.01,71.82,"2,564",1.13,-0.66%,17.32%,0.22,0.20,42.11%,58.16,32.05%,44.46%,
559,FVN,FVN Co.,Agribusiness,Seeds & Crop Science,USA,1185679.70,,1.95,1.28,4.43,44.89,"401,710",3.04,21.86%,15.62%,0.58,1.66,58.42%,35.25,20.25%,43.67%,
560,FVO,FVO Foods Inc.,Agribusiness,Milling,USA,10907872.64,31.77,1.36,0.43,2.86,34.81,"34,034",2.23,-8.81%,5.82%,0.66,0.83,30.44%,47.39,37.00%,49.21%,
561,FVP,FVP Foods Inc.,Agribusiness,Grain Merchants,USA,3627044.15,,1.87,0.90,5.24,23.23,"167,423",0.06,0.57%,14.01%,0.38,0.98,21.95%,33.21,37.70%,57.08%,
562,FVQ,FVQ Brands,Agribusiness,Fertilizer,USA,1299394.76,19.28,4.40,0.66,1.33,29.61,"398,553",-0.69,-1.92%,12.93%,1.42,0.98,36.20%,43.59,22.37%,34.39%,
563,FVR,FVR Brands,Agribusiness,Seeds & Crop Science,USA,3703163.11,18.34,4.17,0.76,,31.00,"698,717",0.97,5.73%,9.55%,0.71,1.09,48.98%,52.77,25.88%,48.28%,
564,FVS,FVS Foods Inc.,Agribusiness,Milling,USA,291266.80,38.45,1.79,2.60,3.83,8.21,"79,214",1.93,22.67%,18.92%,0.66,0.37,50.19%,40.36,36.23%,23.53%,
565,FVT,FVT Foods Inc.,Agribusiness,Grain Merchants,USA,8960645.05,26.22,,1.64,1.04,49.41,"4,228",4.05,-5.06%,-4.03%,0.91,0.95,39.08%,59.36,39.32%,41.00%,
566,FVU,FVU Brands,Agribusiness,Fertilizer,USA,14156664.59,16.31,1.20,1.36,0.93,36.15,"47,025",4.04,5.75%,-0.15%,1.81,1.23,24.49%,70.47,34.24%,65.84%,
567,FVV,FVV Co.,Agribusiness,Seeds & Crop Science,USA,3923261.62,25.63,1.17,1.18,2.95,35.16,"122,042",4.65,19.32%,28.53%,0.88,0.54,36.21%,56.09,22.03%,44.78%,
568,FVW,FVW Co.,Agribusiness,Milling,USA,690850.52,22.82,2.29,1.82,1.68,24.03,"126,944",6.31,-2.77%,12.58%,1.47,1.06,21.32%,61.01,23.88%,39.19%,
569,FVX,FVX Foods Inc.,Agribusiness,Grain Merchants,USA,1345701.22,11.39,3.38,0.79,1.95,14.83,"66,217",3.92,2.89%,6.02%,0.13,0.38,50.66%,48.31,21.20%,35.19%,
570,FVY,FVY Brands,Agribusiness,Fertilizer,USA,1966386.02,22.62,0.88,4.39,3.94,19.20,"1,728,493",3.79,25.32%,4.60%,0.21,1.42,25.42%,30.80,30.94%,17.97%,
571,FVZ,FVZ Brands,Agribusiness,Seeds & Crop Science,USA,6904409.69,34.46,1.15,1.49,1.89,42.48,"5,544",5.66,8.41%,21.15%,0.52,0.28,37.33%,43.10,23.42%,51.66%,
572,FWA,FWA Foods Inc.,Agribusiness,Milling,Canada,351139.88,19.47,0.89,3.53,1.22,13.06,"32,874",6.07,10.73%,-0.26%,1.39,0.82,24.83%,64.42,47.18%,51.56%,
573,FWB,FWB Foods Inc.,Agribusiness,Grain Merchants,Canada,395475.00,12.87,1.26,2.48,3.69,14.45,"607,591",1.88,9.00%,13.66%,0.58,0.20,61.90%,32.62,25.54%,42.21%,
574,FWC,FWC Brands,Agribusiness,Fertilizer,Canada,434152.96,18.86,1.34,1.58,3.15,21.45,"71,917",0.86,22.68%,21.80%,0.58,0.64,40.45%,37.37,31.40%,21.26%,
575,FWD,FWD Foods Inc.,Agribusiness,Seeds & Crop Science,Canada,4991208.80,27.65,1.05,1.56,1.89,34.90,"44,765",1.32,27.65%,-6.11%,1.16,0.89,56.84%,51.06,33.12%,34.11%,
576,FWE,FWE Foods Inc.,Agribusiness,Milling,Canada,1540088.64,,0.80,1.33,1.23,21.39,"52,354",0.68,17.22%,21.85%,0.50,0.98,51.65%,24.77,37.66%,47.10%,
577,FWF,FWF Foods Inc.,Agribusiness,Grain Merchants,Canada,791904.27,31.43,2.08,0.77,1.84,120.00,"109,871",4.75,7.07%,19.20%,1.51,1.62,47.81%,48.71,46.92%,37.82%,
578,FWG,FWG Co.,Agribusiness,Fertilizer,Canada,260913.86,14.61,2.84,1.68,0.85,22.56,"184,865",1.41,11.08%,16.02%,0.46,1.09,67.73%,31.56,35.21%,44.69%,
579,FWH,FWH Foods Inc.,Agribusiness,Seeds & Crop Science,Mexico,308466.67,28.17,1.50,1.85,1.93,15.74,"69,002",2.73,2.75%,12.79%,0.77,0.86,38.13%,45.36,37.25%,46.91%,
580,FWI,FWI Foods Inc.,Agribusiness,Milling,Mexico,13785437.77,18.30,1.50,0.49,0.78,13.14,"114,879",-2.01,9.25%,3.66%,0.46,0.80,16.18%,59.69,29.64%,42.98%,
581,FWJ,FWJ Co.,Agribusiness,Grain Merchants,Mexico,2413928.38,,4.72,2.93,5.38,16.97,"15,632",2.98,13.41%,-2.03%,0.32,1.71,56.77%,49.93,40.96%,35.30%,
582,FWK,FWK Foods Inc.,Agribusiness,Fertilizer,Mexico,2956775.03,19.82,2.07,1.15,0.91,29.74,"9,345",7.12,12.19%,14.82%,0.51,1.48,36.61%,63.69,31.12%,52.29%,
583,FWL,FWL Foods Inc.,Agribusiness,Seeds & Crop Science,Mexico,304467.01,,2.02,1.11,3.04,73.32,"5,070",0.85,-17.94%,14.22%,1.08,1.18,61.30%,62.30,27.64%,51.84%,
584,FWM,FWM Foods Inc.,Agribusiness,Milling,UK,2190172.29,15.08,2.83,0.73,5.23,18.18,"98,360",-1.51,17.64%,15.66%,0.46,1.30,43.40%,38.37,40.35%,40.03%,
585,FWN,FWN Brands,Agribusiness,Grain Merchants,UK,1523372.05,22.13,1.09,2.29,3.60,40.06,"233,742",3.72,29.12%,20.57%,0.92,0.29,27.60%,28.92,19.41%,44.05%,
586,FWO,FWO Brands,Agribusiness,Fertilizer,UK,9334514.41,35.31,0.98,,6.94,81.98,"117,977",-2.03,13.93%,11.47%,0.56,0.96,42.60%,72.07,42.32%,36.01%,
587,FWP,FWP Foods Inc.,Agribusiness,Seeds & Crop Science,UK,1688818.52,21.79,,1.62,2.03,31.24,"60,523",-1.90,6.95%,0.67%,0.59,1.53,39.17%,40.55,29.90%,39.22%,
588,FWQ,FWQ Co.,Agribusiness,Milling,UK,11870846.99,21.06,4.39,2.36,5.05,12.89,"114,329",-2.69,32.94%,16.20%,1.32,0.51,19.21%,48.83,19.80%,32.64%,
589,FWR,FWR Foods Inc.,Agribusiness,Grain Merchants,Switzerland,4737766.16,31.10,2.13,1.05,2.43,27.25,"22,580",4.60,-20.10%,9.05%,0.82,1.04,17.75%,37.08,21.43%,35.02%,
590,FWS,FWS Foods Inc.,Agribusiness,Fertilizer,Switzerland,8109581.23,13.66,1.91,5.27,3.32,27.24,"186,391",3.04,5.88%,12.19%,0.50,1.07,67.38%,48.24,15.48%,33.98%,
591,FWT,FWT Foods Inc.,Agribusiness,Seeds & Crop Science,Switzerland,456360.27,13.27,,,0.96,12.96,"118,869",0.57,-5.51%,26.56%,0.60,0.84,61.69%,76.24,36.83%,58.24%,
592,FWU,FWU Foods Inc.,Agribusiness,Milling,Netherlands,9015100.32,20.22,2.16,0.67,2.28,27.86,"30,389",3.25,14.08%,13.97%,0.60,0.57,77.86%,64.66,34.30%,62.19%,
593,FWV,FWV Co.,Agribusiness,Grain Merchants,Netherlands,1760171.54,44.60,2.58,1.37,2.27,35.23,"1,448,378",3.38,22.97%,14.86%,1.34,0.56,37.72%,53.19,22.62%,37.74%,
594,FWW,FWW Foods Inc.,Agribusiness,Fertilizer,Netherlands,131226.89,12.55,1.18,1.84,4.90,14.46,"916,758",1.30,-3.71%,14.91%,3.83,0.48,43.68%,59.20,32.81%,48.52%,
595,FWX,FWX Co.,Agribusiness,Seeds & Crop Science,Brazil,5446511.15,36.97,4.40,0.55,2.13,9.49,"341,386",5.02,6.21%,1.85%,0.36,1.25,20.97%,42.17,25.58%,48.80%,
596,FWY,FWY Co.,Agribusiness,Milling,Brazil,1061442.73,30.27,1.98,1.87,0.89,32.84,"40,656",1.51,5.97%,0.03%,0.57,1.98,30.23%,48.31,38.94%,47.85%,
597,FWZ,FWZ Foods Inc.,Agribusiness,Grain Merchants,Brazil,7708015.77,14.32,3.29,2.14,4.03,44.28,"155,808",2.37,28.01%,-3.01%,0.46,0.92,22.01%,46.10,33.97%,31.42%,
598,FXA,FXA Foods Inc.,Agribusiness,Fertilizer,Japan,2781605.72,12.82,2.36,1.28,1.27,21.75,"809,789",3.04,13.42%,5.16%,0.32,1.20,18.35%,25.55,41.64%,51.79%,
599,FXB,FXB Foods Inc.,Agribusiness,Seeds & Crop Science,Japan,1137129.24,15.01,1.38,1.28,,26.18,"55,892",3.26,21.70%,7.15%,0.37,0.62,42.38%,34.55,28.94%,42.10%,
600,FXC,FXC Brands,Agribusiness,Milling,USA,420545.28,16.07,1.21,1.21,3.17,27.85,"124,110",2.65,5.35%,13.64%,1.21,0.82,10.43%,45.77,37.45%,42.96%,
601,CPB,Campbell Soup Company,Packaged Foods,Canned Goods,USA,11121954.97,15.82,1.47,0.77,1.24,60.92,"505,975",1.89,12.07%,3.13%,0.43,0.95,18.80%,53.51,40.69%,38.10%,
602,K,Kellanova,Packaged Foods,Cereal & Breakfast,USA,30567299.02,13.65,0.87,1.35,1.30,54.25,"2,691,374",4.41,5.83%,10.63%,0.81,0.83,14.71%,58.89,38.81%,37.78%,
603,FXF,FXF Foods Inc.,Meat & Protein,Pork,USA,4938625.16,12.59,,0.68,2.52,54.09,"9,293",6.92,13.62%,18.27%,0.34,0.98,70.77%,52.55,18.31%,44.31%,
604,FXG,FXG Foods Inc.,Meat & Protein,Plant-Based Protein,USA,5922685.14,15.68,0.63,,1.33,109.21,"97,358",-0.93,6.98%,2.93%,0.40,1.41,35.79%,44.27,41.14%,68.19%,
605,FXH,FXH Brands,Meat & Protein,Beef Packers,USA,3440296.52,19.94,2.07,3.51,1.53,33.90,"8,138",-1.72,-4.96%,26.10%,0.34,0.88,28.85%,35.80,29.07%,45.59%,
606,FXI,FXI Co.,Meat & Protein,Poultry,USA,4840694.69,25.16,6.08,1.31,1.55,29.29,"450,447",4.17,24.57%,15.60%,0.54,0.44,12.13%,41.62,36.20%,41.94%,
607,FXJ,FXJ Co.,Meat & Protein,Pork,USA,1466519.87,18.58,1.49,1.64,4.31,6.41,"25,196",4.12,23.70%,-11.98%,1.44,1.47,12.75%,50.30,39.30%,37.37%,
608,FXK,FXK Brands,Meat & Protein,Plant-Based Protein,USA,97413209.38,15.09,1.99,3.24,0.82,69.45,"51,126",4.27,-1.09%,2.52%,0.65,1.08,50.14%,60.28,36.40%,41.48%,
609,FXL,FXL Brands,Meat & Protein,Beef Packers,USA,757876.43,,1.61,2.05,2.82,21.16,"261,519",0.83,8.00%,20.61%,0.62,1.56,15.67%,30.27,23.60%,38.52%,
610,FXM,FXM Co.,Meat & Protein,Poultry,USA,36387835.54,63.34,2.51,0.96,2.80,60.55,"19,946",4.71,-4.78%,6.34%,1.18,1.10,44.84%,51.42,31.52%,37.99%,
611,FXN,FXN Co.,Meat & Protein,Pork,USA,72451378.49,46.30,,,,100.38,"39,515",-0.13,8.04%,10.52%,0.75,1.25,35.61%,28.75,33.49%,55.76%,
612,FXO,FXO Brands,Meat & Protein,Plant-Based Protein,USA,3862074.66,15.37,,,5.38,18.42,"127,166",3.36,11.74%,10.96%,1.42,1.05,59.24%,53.04,34.75%,50.90%,
613,FXP,FXP Foods Inc.,Meat & Protein,Beef Packers,USA,6355029.04,14.67,,2.93,5.50,56.63,"94,050",4.58,-1.03%,8.66%,1.89,0.94,53.06%,57.86,35.79%,45.47%,
614,FXQ,FXQ Foods Inc.,Meat & Protein,Poultry,USA,6685325.28,35.51,2.70,5.13,2.04,10.74,"26,766",4.72,4.69%,10.58%,1.00,0.51,35.04%,40.61,50.48%,42.33%,
615,FXR,FXR Brands,Meat & Protein,Pork,USA,3998398.60,,5.99,1.45,1.31,34.23,"30,196",1.43,-23.19%,19.11%,1.87,0.20,43.71%,54.08,32.38%,40.45%,
616,FXS,FXS Brands,Meat & Protein,Plant-Based Protein,USA,43409626.37,19.65,1.12,0.70,0.72,30.39,"26,519",0.05,-9.91%,10.87%,0.79,0.57,41.07%,52.37,24.66%,56.57%,
617,FXT,FXT Brands,Meat & Protein,Beef Packers,USA,32430.68,20.92,4.84,10.18,,6.96,"8,221",0.64,11.58%,-0.58%,0.37,1.13,42.03%,63.89,29.25%,25.74%,
618,FXU,FXU Co.,Meat & Protein,Poultry,USA,5403612.42,,,0.96,1.47,127.50,"102,568",0.39,15.31%,11.90%,0.61,0.66,46.94%,76.01,28.56%,50.71%,
619,FXV,FXV Brands,Meat & Protein,Pork,USA,1168077.31,21.23,3.85,1.09,0.78,9.01,"50,046",3.59,-5.95%,5.49%,2.33,1.22,50.83%,62.79,38.93%,46.12%,
620,FXW,FXW Brands,Meat & Protein,Plant-Based Protein,USA,12461355.26,,0.75,2.47,,30.78,"254,254",4.15,20.02%,-9.67%,0.48,1.15,42.78%,31.94,19.33%,55.22%,
621,FXX,FXX Brands,Meat & Protein,Beef Packers,USA,7944918.85,9.72,2.28,3.90,0.78,42.27,"53,228",8.13,5.93%,-3.45%,3.12,0.92,43.38%,78.37,35.92%,45.74%,
622,FXY,FXY Brands,Meat & Protein,Poultry,USA,5925959.70,,2.64,4.44,,9.35,"502,294",3.03,-13.13%,6.77%,1.11,0.75,38.59%,53.53,29.14%,47.72%,
623,FXZ,FXZ Brands,Meat & Protein,Pork,USA,65750470.84,6.39,2.23,0.92,5.93,148.54,"67,185",7.22,6.45%,20.07%,0.82,1.57,26.45%,66.27,42.28%,51.49%,
624,FYA,FYA Foods Inc.,Meat & Protein,Plant-Based Protein,USA,10232397.61,10.15,1.58,1.22,3.54,13.74,"94,907",0.20,22.15%,-15.03%,0.62,1.83,39.88%,55.28,45.07%,38.20%,
625,FYB,FYB Co.,Meat & Protein,Beef Packers,USA,4144936.56,36.84,2.97,0.69,2.92,14.28,"36,658",2.87,-3.16%,4.00%,0.39,1.28,25.90%,41.46,22.88%,41.90%,
626,FYC,FYC Foods Inc.,Meat & Protein,Poultry,USA,1852621.33,,1.69,5.57,3.81,33.48,"86,849",4.21,26.99%,-11.21%,0.59,0.20,58.04%,34.57,35.55%,48.95%,
627,FYD,FYD Co.,Meat & Protein,Pork,USA,81768921.53,15.11,,0.73,0.76,51.59,"27,449",2.66,-5.71%,17.78%,0.23,1.28,56.31%,64.17,32.25%,41.27%,
628,FYE,FYE Co.,Meat & Protein,Plant-Based Protein,USA,15114117.14,17.02,3.16,1.25,2.22,38.51,"15,797",2.63,9.59%,-4.65%,0.65,0.60,46.22%,48.67,39.72%,43.82%,
629,FYF,FYF Co.,Meat & Protein,Beef Packers,USA,421615.61,11.16,2.01,1.76,1.38,24.26,"120,936",1.97,16.36%,6.42%,1.47,1.39,45.74%,52.10,25.36%,40.82%,
630,FYG,FYG Brands,Meat & Protein,Poultry,USA,851494.93,46.44,1.94,2.38,1.90,12.82,"34,120",-0.14,-0.53%,-5.51%,0.47,0.44,40.00%,65.52,29.36%,39.16%,
631,FYH,FYH Brands,Meat & Protein,Pork,USA,1593583.52,48.81,1.69,1.70,4.52,17.46,"219,846",4.99,-0.80%,-8.85%,0.30,0.20,43.60%,41.65,28.75%,51.39%,
632,FYI,FYI Brands,Meat & Protein,Plant-Based Protein,USA,1318852.33,31.17,0.85,1.36,3.17,28.69,"107,772",-0.86,-19.94%,16.35%,1.21,1.05,84.33%,30.38,28.66%,53.25%,
633,FYJ,FYJ Foods Inc.,Meat & Protein,Beef Packers,USA,2963902.27,34.14,2.28,2.15,1.93,32.35,"8,683",3.09,21.43%,27.52%,0.89,1.04,13.55%,76.42,35.82%,40.50%,
634,FYK,FYK Brands,Meat & Protein,Poultry,USA,1232588.28,19.61,1.85,1.00,0.45,22.51,"100,633",1.79,16.87%,2.06%,0.45,1.09,45.33%,37.42,21.45%,43.78%,
635,FYL,FYL Foods Inc.,Meat & Protein,Pork,USA,7711695.38,19.36,1.55,1.84,2.03,39.00,"21,926",1.50,-17.07%,-10.22%,0.70,1.40,49.49%,34.12,26.55%,56.06%,
636,FYM,FYM Foods Inc.,Meat & Protein,Plant-Based Protein,USA,4851983.06,23.05,1.66,1.06,2.02,10.53,"403,786",-1.71,11.28%,3.97%,0.93,0.98,54.64%,51.63,29.39%,35.09%,
637,FYN,FYN Co.,Meat & Protein,Beef Packers,USA,130780.03,13.79,1.65,,1.52,4.77,"42,408",0.36,4.55%,26.73%,0.18,1.15,31.65%,48.83,26.92%,58.75%,
638,FYO,FYO Foods Inc.,Meat & Protein,Poultry,USA,932191.32,29.68,0.54,2.13,0.88,26.99,"8,696",-0.29,18.65%,9.87%,0.58,1.65,26.69%,62.79,28.27%,40.42%,
639,FYP,FYP Co.,Meat & Protein,Pork,USA,4183465.32,21.99,1.38,1.85,3.41,16.71,"21,807",2.94,18.99%,19.27%,0.90,0.51,67.36%,55.59,33.94%,35.49%,
640,FYQ,FYQ Brands,Meat & Protein,Plant-Based Protein,USA,10055211.11,11.10,1.48,3.68,1.42,21.87,"51,656",1.19,-7.35%,11.11%,0.54,0.20,26.08%,39.39,15.22%,39.44%,
641,FYR,FYR Foods Inc.,Meat & Protein,Beef Packers,USA,127946295.76,36.71,1.17,3.89,1.20,45.35,"11,058",-0.83,7.82%,6.19%,2.27,0.60,73.53%,33.12,20.19%,49.45%,
642,FYS,FYS Co.,Meat & Protein,Poultry,USA,3800737.70,16.34,4.41,0.88,1.38,64.00,"45,230",8.56,-7.16%,-3.76%,0.16,0.97,70.00%,46.50,20.11%,31.62%,
643,FYT,FYT Foods Inc.,Meat & Protein,Pork,USA,3927745.40,20.41,0.67,2.99,1.13,45.63,"357,531",4.03,-10.42%,-2.14%,0.64,0.96,50.87%,26.73,39.42%,41.65%,
644,FYU,FYU Foods Inc.,Meat & Protein,Plant-Based Protein,USA,4612325.61,26.21,,3.07,,17.86,"6,575",1.14,20.95%,-2.35%,0.56,0.77,60.96%,53.30,24.44%,36.34%,
645,FYV,FYV Foods Inc.,Meat & Protein,Beef Packers,USA,572565.56,17.88,2.70,1.49,3.93,21.30,"5,018",-0.04,2.41%,3.46%,0.61,1.15,28.22%,54.78,39.95%,37.15%,
646,FYW,FYW Foods Inc.,Meat & Protein,Poultry,USA,13116894.44,23.83,1.35,3.13,0.65,34.05,"8,463",3.57,6.56%,14.69%,0.78,1.38,55.11%,51.10,34.60%,51.30%,
647,FYX,FYX Foods Inc.,Meat & Protein,Pork,USA,19424988.83,30.35,1.04,2.57,1.82,20.85,"4,837",3.37,19.67%,4.73%,0.95,0.28,51.71%,73.51,19.53%,39.31%,
